usgs_id,ocean_class,dist_to_coast_km
iscgem616063186,oceanic,750.221
iscgem616060050,transitional,72.627
iscgem616648541,continental,28.494
iscgem616046592,continental,16.736
iscgem616203758,oceanic,506.672
iscgem616217956,oceanic,499.648
iscgem616041896,continental,24.643
iscgem616004316,oceanic,389.845
iscgem615980963,continental,27.305
iscgem616173560,continental,33.409
iscgem615973495,transitional,76.225
iscgem615973484,transitional,96.954
iscgem615968725,transitional,100.392
iscgem615968173,continental,25.088
iscgem620148010,transitional,92.094
iscgem616647669,continental,43.678
iscgem615962569,continental,48.96
iscgem616003909,transitional,100.066
iscgem615958611,transitional,142.846
iscgem619441511,continental,48.216
iscgem616173310,transitional,89.013
iscgem616744157,transitional,108.616
iscgem615955370,continental,47.983
iscgem615952702,oceanic,517.272
iscgem620557732,oceanic,323.914
iscgem615980752,oceanic,446.541
iscgem615776824,transitional,165.099
iscgem615945633,continental,14.145
iscgem620129901,transitional,119.158
iscgem615748456,oceanic,596.433
iscgem615744412,transitional,102.963
iscgem615738796,oceanic,1100.443
iscgem616744097,oceanic,1109.175
iscgem615738774,oceanic,1117.879
iscgem615622891,continental,2.361
iscgem620489784,transitional,87.013
iscgem620506284,continental,20.929
iscgem615950088,transitional,52.118
iscgem615950054,oceanic,331.431
iscgem615434612,continental,21.422
iscgem615414244,oceanic,1592.461
iscgem615417088,oceanic,765.136
iscgem615412954,transitional,112.528
iscgem615412757,oceanic,534.705
iscgem616645296,continental,39.146
iscgem615410465,continental,35.516
iscgem615522472,transitional,91.655
iscgem615392304,continental,37.85
iscgem615391433,transitional,73.537
iscgem616217861,transitional,90.375
iscgem615380484,transitional,88.548
iscgem615372509,transitional,77.518
iscgem615370393,transitional,97.084
iscgem615353967,transitional,155.386
iscgem615344583,continental,17.078
iscgem620301451,transitional,64.552
iscgem615332083,transitional,71.732
iscgem615327217,continental,33.998
iscgem615301158,continental,34.905
iscgem620301187,oceanic,215.388
iscgem616645007,oceanic,409.039
iscgem620328401,transitional,109.318
iscgem615179560,continental,25.067
