usgs_id,ocean_class,dist_to_coast_km
iscgem616179283,continental,1.302
iscgem616091877,transitional,129.591
iscgem616069028,oceanic,679.709
iscgem616067516,continental,21.971
iscgem616062317,continental,7.898
iscgem616063186,transitional,138.979
iscgem616060050,transitional,142.027
iscgem616648541,transitional,73.092
iscgem616046592,transitional,96.702
iscgem616203758,oceanic,200.615
iscgem616217956,oceanic,205.002
iscgem616041896,transitional,99.894
iscgem616004316,continental,11.139
iscgem615980963,transitional,86.285
iscgem616173560,transitional,171.374
iscgem615973495,continental,7.091
iscgem615973484,continental,45.357
iscgem615968725,transitional,50.517
iscgem615968173,continental,48.575
iscgem620148010,transitional,93.107
iscgem616647669,transitional,195.537
iscgem615962569,transitional,51.237
iscgem616003909,transitional,148.404
iscgem615958611,continental,11.589
iscgem619441511,oceanic,203.735
iscgem616173310,oceanic,206.223
iscgem616744157,transitional,172.068
iscgem615955370,transitional,72.956
iscgem615952702,continental,43.461
iscgem620557732,transitional,185.404
iscgem615980752,continental,22.852
iscgem615776824,continental,32.027
iscgem615945633,transitional,60.143
iscgem620129901,continental,23.89
iscgem615748456,oceanic,486.905
iscgem615744412,continental,31.922
iscgem615738796,transitional,146.581
iscgem616744097,transitional,152.103
iscgem615738774,transitional,159.519
iscgem615622891,continental,6.464
iscgem620489784,continental,25.665
iscgem620506284,continental,21.504
iscgem615950088,transitional,56.194
iscgem615950054,transitional,124.336
iscgem615434612,oceanic,353.384
iscgem615414244,oceanic,665.231
iscgem615417088,continental,7.929
iscgem615412954,continental,4.319
iscgem615412757,continental,10.407
iscgem616645296,oceanic,985.309
iscgem615410465,continental,0.635
iscgem615522472,transitional,59.836
iscgem615392304,transitional,110.728
iscgem615391433,continental,41.848
iscgem616217861,transitional,123.953
iscgem615380484,continental,48.803
iscgem615372509,transitional,138.58
iscgem615370393,continental,40.609
iscgem615353967,continental,22.049
iscgem615344583,oceanic,261.136
iscgem620301451,continental,16.913
iscgem615332083,continental,26.316
iscgem615327217,transitional,197.809
iscgem615301158,continental,37.106
iscgem620301187,transitional,117.881
iscgem616645007,continental,17.551
iscgem620328401,oceanic,473.983
iscgem615179560,continental,24.67
iscgem615374407,continental,24.458
iscgem615142175,continental,31.574
iscgem615380543,oceanic,302.579
iscgem615092476,transitional,174.593
iscgem620328319,oceanic,328.694
iscgem614969911,oceanic,304.815
iscgem615221632,continental,1.936
iscgem614774103,oceanic,627.338
iscgem614641055,continental,34.485
iscgem614610379,continental,3.146
iscgem614610371,continental,0.298
iscgem620213281,continental,17.076
iscgem614617848,transitional,56.284
iscgem615737574,continental,19.226
iscgem614617830,oceanic,521.803
iscgem614578210,transitional,57.025
iscgem614578192,transitional,55.4
iscgem614617823,continental,8.031
iscgem614617816,continental,40.067
iscgem614574305,transitional,116.055
iscgem614572080,continental,15.144
iscgem614559323,continental,14.121
iscgem614554814,transitional,112.758
iscgem614554733,oceanic,723.067
iscgem614554713,continental,44.253
iscgem614463969,continental,48.654
iscgem614463414,continental,33.195
iscgem614460821,transitional,83.727
iscgem615091897,transitional,71.065
iscgem615091895,continental,16.034
iscgem614459017,transitional,75.165
iscgem614456216,oceanic,1159.667
iscgem614453863,transitional,148.903
iscgem614438483,oceanic,1978.727
iscgem614423758,continental,12.235
iscgem614405114,transitional,188.585
iscgem615091842,transitional,148.265
iscgem616639832,transitional,144.091
iscgem616643649,continental,22.263
iscgem614401519,continental,1.795
iscgem616643636,continental,7.388
iscgem614337169,oceanic,474.689
iscgem615091717,continental,20.792
iscgem616336693,transitional,81.919
iscgem614221198,oceanic,1916.276
iscgem614590625,transitional,51.326
iscgem616643476,continental,17.694
iscgem614174659,oceanic,1045.809
iscgem618238013,transitional,82.483
iscgem613954659,transitional,109.23
iscgem613523154,transitional,175.156
iscgem613523042,transitional,90.079
iscgem616642696,continental,43.342
iscgem614453461,transitional,173.53
iscgem613516355,transitional,102.455
iscgem613514189,continental,22.773
iscgem613510731,transitional,172.96
iscgem613510725,transitional,157.618
iscgem613510732,transitional,175.113
iscgem613503535,transitional,156.024
iscgem613503541,transitional,163.053
iscgem613500786,transitional,184.759
iscgem613446529,transitional,109.659
iscgem615091204,continental,11.069
iscgem615435921,continental,4.361
iscgem615091201,continental,13.321
iscgem615091200,continental,9.69
iscgem613449576,continental,10.485
iscgem613319351,transitional,100.837
iscgem612848403,transitional,54.909
iscgem616642238,continental,12.088
iscgem616329797,continental,14.148
iscgem615001358,oceanic,557.766
iscgem614399852,oceanic,202.664
iscgem615001202,oceanic,330.894
iscgem612708719,continental,5.258
iscgem612708067,continental,4.494
iscgem618237865,transitional,93.138
iscgem612848327,continental,45.24
iscgem612697604,continental,11.672
iscgem615001001,oceanic,209.945
iscgem612700575,transitional,102.469
iscgem612640280,transitional,54.506
iscgem612638538,oceanic,426.461
iscgem612637304,oceanic,638.942
iscgem612634106,continental,35.289
iscgem612616267,oceanic,270.66
iscgem612700546,continental,1.098
iscgem612616014,continental,1.334
iscgem612543198,continental,10.378
iscgem614966290,transitional,96.319
iscgem612543144,continental,4.493
iscgem612543157,transitional,90.21
iscgem616641704,continental,27.989
iscgem616641680,continental,1.195
iscgem618237793,transitional,91.396
iscgem616641666,oceanic,225.435
iscgem612533099,oceanic,226.748
iscgem616639256,continental,26.45
iscgem612678561,transitional,64.549
iscgem616641627,transitional,50.753
iscgem612512937,continental,39.627
iscgem612508682,transitional,81.814
iscgem612456510,continental,16.347
iscgem615000905,continental,13.581
iscgem612522409,transitional,99.177
iscgem612522384,continental,25.478
iscgem612300569,transitional,132.582
iscgem612299504,continental,5.912
iscgem614965779,transitional,143.514
iscgem612281237,continental,8.158
iscgem612219132,continental,2.131
iscgem615000719,oceanic,438.451
iscgem611932171,oceanic,1342.063
iscgem611928842,continental,46.976
iscgem611928827,continental,6.407
iscgem611881700,continental,46.088
iscgem611872858,continental,15.305
iscgem611927948,oceanic,210.033
iscgem611868124,continental,36.553
iscgem611852739,oceanic,729.575
iscgem611930630,oceanic,284.566
iscgem611852723,continental,1.32
iscgem611858877,continental,11.209
iscgem611858867,continental,22.8
iscgem611818766,oceanic,1713.934
iscgem615000444,continental,7.863
iscgem615000215,continental,15.678
iscgem618140477,transitional,173.295
iscgem611722840,transitional,187.471
iscgem612504204,oceanic,784.219
iscgem611722806,transitional,116.708
iscgem611829275,continental,36.193
iscgem615000068,transitional,172.909
iscgem611835996,continental,23.035
iscgem616640792,continental,6.986
iscgem611835901,continental,6.949
iscgem611835880,oceanic,1280.06
iscgem611835852,oceanic,422.462
iscgem611835835,transitional,102.934
iscgem611658170,continental,12.783
iscgem618237460,transitional,82.466
iscgem611653794,oceanic,248.211
iscgem616640769,continental,2.138
iscgem611835791,transitional,92.023
iscgem611835770,transitional,53.997
iscgem611648221,continental,10.202
iscgem611634051,continental,45.307
iscgem611604311,continental,21.822
iscgem611602013,transitional,83.856
iscgem618237306,oceanic,402.72
iscgem615353083,oceanic,395.478
iscgem611835493,continental,39.046
iscgem616640692,continental,45.128
iscgem611616530,continental,40.15
iscgem611575821,continental,8.231
iscgem616640658,continental,2.881
iscgem611572251,oceanic,397.978
iscgem615352925,oceanic,693.775
iscgem611835382,continental,17.302
iscgem611474084,transitional,68.108
iscgem614999545,transitional,63.727
iscgem614999540,transitional,56.398
iscgem614999538,transitional,65.875
iscgem617943570,oceanic,816.116
iscgem616640579,continental,9.292
iscgem617943542,oceanic,425.008
iscgem615352718,oceanic,416.937
iscgem614999445,transitional,74.114
iscgem611835219,transitional,80.469
iscgem611573912,transitional,87.949
iscgem614999396,transitional,100.634
iscgem611467328,continental,29.201
iscgem614999385,transitional,123.566
iscgem611249173,transitional,94.432
iscgem615211684,transitional,97.871
iscgem617443075,oceanic,314.793
